epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1879.97,0.37225,0.21164,0.7942,0.99988,1,0.995,0.93634,0.36254,0.1779,0.79137,0.000330233,0.000330233,0.000330233
83,1902.96,0.3683,0.2119,0.79212,0.99988,1,0.995,0.93986,0.36522,0.1787,0.79126,0.000313729,0.000313729,0.000313729
84,1925.7,0.36336,0.20723,0.79113,0.99988,1,0.995,0.93561,0.36224,0.17666,0.79106,0.000297226,0.000297226,0.000297226
85,1949.27,0.36134,0.2087,0.79427,0.99992,1,0.995,0.93856,0.35724,0.17795,0.79109,0.000280723,0.000280723,0.000280723
86,1972.76,0.36372,0.20415,0.79254,0.9999,1,0.995,0.93859,0.36197,0.17567,0.79138,0.00026422,0.00026422,0.00026422
87,1996.44,0.35479,0.20152,0.7881,0.99989,1,0.995,0.94251,0.35687,0.17429,0.7904,0.000247716,0.000247716,0.000247716
88,2019.71,0.36061,0.2041,0.79119,0.99987,1,0.995,0.94106,0.35823,0.17479,0.7906,0.000231213,0.000231213,0.000231213
89,2043.1,0.3528,0.19894,0.78615,0.99994,1,0.995,0.94197,0.35875,0.17561,0.79056,0.00021471,0.00021471,0.00021471
90,2066.76,0.35383,0.20084,0.78881,0.99983,1,0.995,0.94128,0.35477,0.17396,0.79014,0.000198206,0.000198206,0.000198206
91,2135.89,0.3394,0.19393,0.79389,0.99983,0.99808,0.995,0.93874,0.35815,0.17641,0.79218,0.000181703,0.000181703,0.000181703
92,2159.55,0.33708,0.19054,0.79002,1,0.9999,0.995,0.93743,0.36429,0.17724,0.7921,0.0001652,0.0001652,0.0001652
93,2183.42,0.33691,0.18986,0.79061,0.99989,1,0.995,0.93976,0.36167,0.17406,0.79144,0.000148696,0.000148696,0.000148696
94,2207.72,0.33067,0.18597,0.78928,0.99988,1,0.995,0.93475,0.36758,0.17669,0.79309,0.000132193,0.000132193,0.000132193
95,2232.38,0.32594,0.18323,0.79228,0.99991,1,0.995,0.93905,0.35867,0.17285,0.79141,0.00011569,0.00011569,0.00011569
96,2256.38,0.32534,0.18216,0.78927,0.99992,1,0.995,0.94386,0.3537,0.17227,0.79028,9.91865e-05,9.91865e-05,9.91865e-05
97,2279.51,0.32263,0.18435,0.79109,0.99988,1,0.995,0.94341,0.35392,0.171,0.78961,8.26832e-05,8.26832e-05,8.26832e-05
98,2303.28,0.31346,0.1796,0.78468,0.99988,1,0.995,0.93768,0.36588,0.17355,0.79171,6.61799e-05,6.61799e-05,6.61799e-05
99,2326.1,0.31709,0.18082,0.78393,0.99987,1,0.995,0.9434,0.35098,0.16919,0.78961,4.96766e-05,4.96766e-05,4.96766e-05
100,2349.99,0.31777,0.18158,0.78848,0.99987,1,0.995,0.94213,0.35791,0.17145,0.79041,3.31733e-05,3.31733e-05,3.31733e-05
